title,format,target_duration,objective,content_pillar,hook,promise,development,plot_twist,cta,full_caption,hashtags,algorithm_tip,status,recording_notes
"Declaração Pública: Vou provar ao vivo que o método funciona",reel,45,alcance,bastidor,"Sou dono de uma empresa de growth marketing. E vou crescer uma conta do Instagram do zero — ao vivo, sem truque, usando só o algoritmo de 2026.","Por 30 dias você vai ver tudo: os números reais, as prospecções, o que funciona e o que não funciona.","O algoritmo de 2026 mudou completamente. A Meta unificou as métricas em Visualizações. O sinal mais forte agora é Sends per Reach — quantas pessoas mandam seu conteúdo pra outra. Não é seguidor. Não é like. É recomendação real entre pessoas reais. E eu preciso provar que o método que ensino funciona mesmo partindo do zero. Não de uma conta que já tem audiência. Do absoluto zero — igual você.","Se eu chegar em 30 dias com resultado real — você vai ter a prova que precisava pra fazer o mesmo. Se não chegar — você vai ter aprendido o que não funciona. De qualquer forma, você ganha.","Segue aqui pra acompanhar ao vivo. E compartilha isso com alguém que quer crescer no Instagram.","Declaração pública: vou crescer do zero — ao vivo. | Sou fundador de uma empresa de growth marketing. Tenho método. Tenho técnica. Tenho os dados do algoritmo. | E vou provar que funciona partindo do zero — igual você está agora. | Por 30 dias vou publicar os números reais: alcance, Sends per Reach, seguidores, e vendas. | Sem editar o que não der certo. Sem esconder o que for difícil. | O Instagram de 2026 recompensa autenticidade humana. Então é exatamente isso que você vai ver aqui. | Segue a jornada.","#algoritmoinstagram2026 #crescimentoinstagram #growthmarketing #metodo2026 #rendaextra","Esse Reel tem altíssimo potencial de Sends per Reach porque ativa curiosidade e comprometimento público. Responda todos os comentários nos primeiros 60 minutos para acelerar a fase 2 de distribuição.",pronto,"Câmera na mão, sem filtro. Tom direto, olho na câmera. Gravar no local de trabalho ou em movimento. Mostrar o celular com o perfil zerado em algum momento do vídeo."
"Posts sem hashtag têm 23% mais alcance — vou testar ao vivo",reel,30,alcance,desmistificacao,"Dado real de maio de 2026: posts sem nenhuma hashtag estão tendo 23% mais alcance do que posts com hashtags em massa.","Vou testar isso ao vivo nessa conta e te mostro o resultado.","Por que isso faz sentido tecnicamente: O Instagram de 2026 funciona como motor de busca. Ele transcreve seu áudio. Lê seu texto em tela. Analisa sua legenda. Se você usou as palavras-chave certas nesses lugares — a hashtag não adiciona nada. E pior: 30 hashtags parece spam pro algoritmo. O sistema penaliza.","O que funciona: 3 a 5 hashtags de nicho ultra-específico. Ou nenhuma — e palavras-chave na legenda fazendo o trabalho.","Comenta HASHTAG aqui — quer ver o resultado?","Posts SEM hashtag tendo 23% mais alcance. | Não é teoria. É dado de pesquisa de maio de 2026. | Em 2026, hashtag não é mais canal de descoberta. É classificador de tópico — e só. | O Instagram virou motor de busca semântico. Ele lê o áudio do seu vídeo. Lê o texto em tela. Lê a sua legenda. | Se você já usou as palavras-chave certas nesses lugares — a hashtag não adiciona nada. | Use 3 a 5 hashtags de nicho ultra-específico. Ou nenhuma — e deixa as palavras-chave na legenda fazer o trabalho. | Comenta HASHTAG que te mando o resultado do meu teste essa semana.","#algoritmoinstagram2026 #hashtags #instagramdicas #crescimentoorganico #metodo2026","Reel contraintuitivo com dado real — alto potencial de compartilhamento espontâneo. Use o áudio falando a frase do dado logo no início para indexação semântica.",pronto,"Tom de dado surpreendente. Mostrar a tela do celular com o dado visível. Falar o número claramente para indexação de áudio pelo algoritmo."
"7 dias. Conta do zero. Os números reais",reel,45,alcance,prova_social,"Dia 7. Conta do zero. Esses são os números reais — sem editar nada.","Se você acompanhou desde o começo, isso é o que o algoritmo de 2026 fez com conteúdo criado do jeito certo.","[Mostrar print dos insights] Semana 1 com [X] seguidores — o Reel de declaração atingiu [X] pessoas. A taxa de Sends per Reach foi de [X]%. O carrossel teve [X] salvamentos. O que funcionou mais: o Reel sem hashtag performou [melhor/igual/diferente] do que o com hashtags. [Mostrar dado] E o que aprendi na prática: os primeiros 3 segundos são mais críticos do que qualquer coisa que vem depois. Perdi [X]% das visualizações no começo de um dos Reels. Bastou mudar o gancho — o alcance dobrou na próxima publicação.","Isso não é teoria. É o algoritmo de 2026 funcionando numa conta nova, do zero, em tempo real.","Salva esse vídeo. Semana 2 vem com os dados da prospecção também. Segue pra não perder.","[Preencher com dados reais da semana 1 antes de publicar] | Dia 7 da jornada ao vivo. | Conta nova, zero histórico, zero seguidores comprados. | Esses são os números reais — sem esconder o que não foi bom. | O que mais me surpreendeu: [preencher com dado real] | O que vou ajustar na semana 2: [preencher] | Segue aqui pra acompanhar ao vivo.","#resultado #algoritmoinstagram2026 #crescimentoinstagram #jornada30dias #metodo2026","Transparência de dados reais gera compartilhamento espontâneo. Mostre os prints na tela — o algoritmo indexa o texto visual do vídeo aumentando a relevância semântica.",rascunho,"Preencher os dados reais antes de gravar. Mostrar o celular com os Insights abertos. Falar os números claramente. Tom: analítico, não comemorativo — seja honesto com o que foi bom e o que não foi."
"Trial Reels: o recurso que ninguém está usando ainda",reel,30,alcance,educacao,"Existe um recurso no Instagram de 2026 que deixa você testar conteúdo novo sem aparecer pra nenhum dos seus seguidores.","Se você tem medo de testar formato novo, esse recurso foi feito pra você.","Se chama Trial Reels — Reels de Teste. Você posta um Reel e escolhe que ele seja exibido APENAS pra não-seguidores. O Instagram distribui pra pessoas novas com base no interesse do nicho — sem incomodar quem já te segue. Com isso você consegue dados reais: taxa de conclusão, envios, salvamentos — antes de decidir se esse conteúdo entra no seu perfil principal. É como fazer um teste A/B com distribuição orgânica real.","A maioria dos criadores que testa formato novo e desiste, nunca usou esse recurso. Porque testou sem dados. Aí parece que não funciona.","Manda DM com TRIAL que te explico como usar isso na estratégia de crescimento.","Recurso pouco conhecido que muda o jogo pra quem tem medo de testar. | Trial Reels: você posta e escolhe que APENAS não-seguidores vejam. | Sem interferir na sua audiência atual. | Com dados reais de performance antes de decidir publicar. | É o A/B test orgânico do Instagram. | E quase ninguém está usando. | Manda DM com TRIAL que te conto como aplicar.","#trialreels #algoritmoinstagram2026 #instagramdicas #crescimentoinstagram #metodo2026","Conteúdo sobre funcionalidade nova gera alto compartilhamento — pessoas mandam pra quem cria conteúdo. Use o nome Trial Reels no áudio para indexação semântica.",pronto,"Mostrar onde fica a opção de Trial Reels nas configurações de publicação. Gravar a tela enquanto fala. Tom de revelação de segredo."
"Por que conteúdo perfeito está morrendo no Instagram de 2026",reel,60,alcance,desmistificacao,"O Instagram de 2026 declarou oficialmente: este é o Ano do Conteúdo Raw. Conteúdo bruto, cru, imperfeito.","E se você ainda está gastando horas tentando deixar o vídeo perfeito — você está trabalhando contra o algoritmo.","Vou te explicar o porquê técnico. O sistema de IA da Meta analisa pixels, áudio e texto em tela de todo conteúdo postado. Conteúdo que parece perfeito demais é categorizado como potencialmente sintético — gerado por IA, sem presença humana real. O algoritmo dá bônus de novidade e bônus de confiança pra conteúdo que demonstra: iluminação inconsistente, câmera na mão, falhas visíveis, bastidores reais. Essas imperfeições funcionam como prova de humanidade em um ecossistema cheio de conteúdo de IA. O Adam Mosseri — chefe do Instagram — disse exatamente isso: autenticidade virou ativo comercial diferenciado. Não porque é bonito filosoficamente. Porque é o que sobrevive ao filtro do algoritmo quando a IA pode replicar qualquer estética, mas não pode replicar experiência humana real.","O criador que para de tentar ser perfeito e começa a ser genuíno tem vantagem técnica sobre quem produz conteúdo de estúdio em 2026.","Salva esse vídeo. Próximo post: grave no celular, sem retocar demais. Compara o alcance.","Conteúdo perfeito = desconfiança do algoritmo. | Não é metáfora. É mecânica técnica. | O sistema de IA da Meta analisa cada pixel, cada som e cada texto em tela. Se o conteúdo parece sintético — ele recebe menos distribuição. Se demonstra presença humana real — recebe bônus de confiança. | Em 2026, as imperfeições vieram pro lado certo da equação. | Isso não significa postar qualquer coisa. Significa que o esforço deve ir pro conteúdo — não pra estética. | Câmera na mão, bastidor real, processo genuíno, perspectiva que só você tem: esses são os ativos que a IA não consegue copiar. | E é exatamente isso que o algoritmo está priorizando agora.","#conteudoraw #algoritmoinstagram2026 #criadordeconteudo #autenticidade #rendaextrainstagram","Ironicamente, esse Reel DEVE ser gravado de forma raw para validar a tese. Câmera na mão, sem anel de luz. O próprio formato é a prova do argumento.",pronto,"Gravar completamente de forma raw: câmera na mão, iluminação natural, sem filtro. O vídeo em si deve provar o argumento. Citar Adam Mosseri pelo nome — aumenta credibilidade e indexação semântica."
"Você não precisa de 10k seguidores pra vender pelo Instagram em 2026",reel,45,venda,desmistificacao,"Para de esperar chegar em 10k. Você pode vender agora com 500 seguidores.","E vou te mostrar a lógica por trás disso.","Existe uma crença errada enraizada no Instagram: que você precisa de audiência grande pra vender. Isso era verdade em 2018. Em 2026, o jogo é diferente. O que vende no Instagram não é o tamanho da conta. É a temperatura do público. Uma conta com 600 seguidores ultra-engajados que confiam em você vende mais do que uma conta com 80k seguidores que não te conhecem de nada. Eu chamo isso de audiência quente. É o grupo de pessoas que assiste seus Stories, responde suas enquetes, manda DM, comenta os posts. Esse grupo pequeno é o que compra. E você pode construir esse grupo em 60 dias do zero — se souber usar o algoritmo certo.","Vender pelo Instagram não é questão de tamanho. É questão de estratégia.","Salva esse vídeo. E manda DM com VENDER se você quer saber como montar essa estratégia.","Parei de perseguir seguidores quando entendi isso. | Seguidores não pagam conta. Audiência engajada paga. | A diferença: → Seguidor é número na bio → Audiência quente é pessoa que te ouve, confia em você e está disposta a comprar | Você pode ter 500 seguidores e uma audiência quente. Pode ter 50k e audiência fria. | O que decide não é o número — é a relação. | E o Instagram de 2026 dá todas as ferramentas pra você construir essa relação rapidinho. | Quem usa essas ferramentas certo, vende. Independente do tamanho da conta. | Me manda DM com VENDER que te conto o próximo passo.","#vendaspeloinstragram #rendaextra #microinfluencer #algoritmo2026 #marketingdigital","Conteúdo que destrói crença limitante gera alto compartilhamento por DM — pessoas mandam pra quem está travado na mesma crença. Sends per Reach alto esperado.",pronto,"Tom direto e quase provocativo no gancho. Falar com convicção — você está destruindo uma crença que muita gente tem. CTA de DM é intencional: gera o sinal mais forte do algoritmo."
"O Instagram virou motor de busca — você está sendo indexado ou ignorado?",reel,45,autoridade,educacao,"Pergunta que vale dinheiro: quando alguém busca seu nicho no Instagram — sua conta aparece?","Se a resposta for não, o problema não é o conteúdo. É o SEO.","O Instagram de 2026 funciona como motor de busca visual. E ele indexa sua conta em 4 lugares: 1 — O áudio dos seus Reels: o sistema transcreve tudo que você fala. Se você fala as palavras do seu nicho — você é indexado. 2 — Texto em tela: cada palavra que aparece no vídeo é lida pela IA. 3 — Sua legenda: palavras-chave na legenda superam hashtags como canal de descoberta em 2026. 4 — Alt text das imagens: pouquíssimas contas usam. É uma vantagem enorme hoje. Soma tudo isso e você tem um perfil que aparece quando as pessoas buscam seu assunto. Ou não aparece — e seu concorrente aparece no lugar.","Hashtag em 2026 é o sinal mais fraco. Palavras-chave no áudio e na legenda são o que decide se você é encontrado.","Salva esse vídeo — é o checklist de SEO que você vai aplicar ainda hoje. E comenta SEO aqui se quiser aprofundar.","O Instagram tem um motor de busca interno. | E a maioria das contas não está sendo indexada. | Isso significa: quando seu cliente ideal busca pelo seu assunto — você não aparece. | As 4 áreas onde o algoritmo indexa seu conteúdo: | 1 Áudio (transcrição automática do que você fala) | 2 Texto em tela nos Reels | 3 Palavras-chave na legenda | 4 Alt text das imagens | Cada uma dessas áreas sem otimização = oportunidade perdida de ser descoberto. | Salva esse post. É o checklist de SEO do Instagram 2026.","#seoinstagram #algoritmoinstagram2026 #instagramdicas #crescimentoorganico #growthmarketing","Conteúdo técnico de SEO gera salvamento alto — audiência quer guardar para aplicar depois. Ironicamente, use as palavras-chave do nicho no próprio áudio desse Reel.",pronto,"Enumerar os 4 pontos visualmente na tela enquanto fala. Usar texto em tela com cada ponto numerado. Tom analítico e de autoridade técnica."
"21 dias. Conta do zero. O que ninguém esperava acontecer",reel,60,alcance,prova_social,"21 dias. Conta do zero. E aconteceu algo que nem eu esperava.","Fica até o fim porque os números reais estão aqui — sem editar nada.","[Preencher com dados reais antes de publicar] Semana 1: [X] seguidores, alcance de [X] pessoas. Semana 2: cresceu [X]%, Sends per Reach médio de [X]%. Semana 3: [dado surpresa real]. O que ninguém me disse antes de começar: o sinal que mais moveu o alcance não foi o Reel mais editado. Foi o mais cru. A prospecção que mais avançou não foi a que eu mais elaborei. Foi a mais personalizada. E o conteúdo que mais gerou DM foi o que mostrei vulnerabilidade real — não o que mostrei resultado.","O algoritmo de 2026 não favorece o mais perfeito. Favorece o mais humano. Provei isso ao vivo.","Segue aqui — semana 4 é a semana da prova final. Vou revelar tudo.","[Preencher com dados reais antes de publicar] | 21 dias. Do zero. Aqui estão os números. | [Dado 1 real] | [Dado 2 real] | [Dado 3 — o que surpreendeu] | O que aprendi que ninguém fala: [insight real] | Semana 4 é a semana final. | Vou revelar TUDO: seguidores, alcance total, prospecções fechadas, vendas. | Segue aqui pra não perder.","#resultado #jornada30dias #algoritmoinstagram2026 #growthmarketing #provaaovivo","Grande revelação de meio de jornada — máximo potencial de Sends per Reach. Mantenha suspense para a semana final. Responda todos os comentários nos primeiros 60 minutos.",rascunho,"Preencher TODOS os dados reais antes de gravar. Este é um dos Reels mais importantes do mês — a revelação do meio. Ser completamente honesto, incluindo o que não funcionou."
"30 dias. Conta do zero. TODOS os números — sem esconder nada",reel,60,alcance,prova_social,"30 dias. Conta do zero. E vou revelar agora tudo que aconteceu — sem esconder nada.","Os números completos. As prospecções. As vendas. O que funcionou. O que não funcionou.","[Preencher com todos os dados reais] Dia 1: 0 seguidores. Hoje: [X] seguidores. Alcance total do mês: [X] pessoas. Sends per Reach médio: [X]%. Prospecções enviadas: [X]. Responderam: [X]. Reuniões: [X]. Fechamentos: [X]. Vendas do produto: [X]. Total gerado: R$ [X]. O que o algoritmo de 2026 realmente recompensou: conteúdo raw, Sends per Reach, salvamentos. O que não importou: likes, número de seguidores, produção elaborada. E o maior aprendizado dos 30 dias: [insight real e específico].","Isso não é marketing. É prova. E agora é a sua vez de aplicar o mesmo método.","O link do método completo está na bio. Ou manda DM com MÉTODO agora — oferta aberta só até [data].","[Preencher com dados reais antes de publicar] | 30 dias. Do absoluto zero. | Aqui estão TODOS os números: | Seguidores: 0 → [X] | Alcance total: [X] pessoas | Sends per Reach médio: [X]% | Prospecções: [X] enviadas / [X] fechadas | Vendas do produto: [X] | O que o algoritmo de 2026 realmente recompensou: [dado real] | O que não importou: [dado real] | O maior aprendizado: [insight genuíno] | Agora é a sua vez. Link na bio.","#resultado30dias #algoritmoinstagram2026 #provaaovivo #crescimentoinstagram #rendaextra","Revelação final completa — maior potencial de Sends per Reach do mês inteiro. Toda audiência aquecida de 30 dias vai compartilhar. Publicar entre 18h-20h para máximo alcance inicial.",rascunho,"Preencher todos os dados reais. Este é o Reel mais importante do mês. Ser completamente transparente — incluir o que não funcionou. Autenticidade total."
"Esse foi meu mês de prova. Agora é a sua vez.",reel,45,venda,cta,"Por 30 dias eu provei ao vivo que o algoritmo de 2026 funciona. Do zero. Com conta nova. Com dados reais.","E agora estou abrindo o método completo pra quem quer fazer o mesmo.","Em 30 dias saí de zero seguidores para [X]. Alcancei [X] pessoas no total. Fechei [X] clientes para minha empresa de growth usando o próprio Instagram. E vendi o método [X] vezes. Tudo documentado aqui nesse perfil. Você viu cada número. Cada prospecção. Cada ajuste. Isso é o que o método do algoritmo de 2026 faz quando aplicado com consistência e técnica. E agora você pode fazer o mesmo — com o método completo na sua mão.","Você não precisa de mais teoria. Você precisava da prova de que funciona. Agora você tem.","Link na bio pra acessar o método. Ou manda DM com MÉTODO agora — oferta encerra hoje.","Esse foi meu mês de prova. | 30 dias. Do zero. Com o método do algoritmo de 2026. | Você viu tudo ao vivo: | ✓ Os números reais de crescimento | ✓ As prospecções gravadas | ✓ Os fechamentos de cliente | ✓ As vendas do produto | Agora é a sua vez. | O método completo está disponível — mas só até hoje. | Link na bio ou manda DM com MÉTODO agora.","#metodocompleto #algoritmoinstagram2026 #rendaextra #crescimentoinstagram #oferta","CTA de fechamento após 30 dias de aquecimento — maior taxa de conversão esperada do mês. Publicar às 18h para máximo alcance. Responder todas as DMs imediatamente.",rascunho,"Tom de encerramento e convite — não de pressão. Mostrar o perfil crescido vs o perfil zerado do dia 1. A transformação visual é o argumento mais forte."
