title,publish_date,format,duration_seconds,subject,objective,content_pillar,algorithm_mechanism,status,notes
"Declaração Pública: Tenho empresa de growth e vou crescer do zero — ao vivo",2026-05-12,reel,45,"Jornada ao vivo: provar o método do zero",alcance,bastidor,"Sends per Reach — conteúdo que gera compartilhamento espontâneo por ser declaração pública e contraintuitiva",planejado,"Gravar câmera na mão, sem filtro, tom direto. Mostrar o perfil zerado antes de começar."
"Bastidor raw: perfil zerado — começa hoje",2026-05-12,stories,,"Abertura da jornada ao vivo",alcance,bastidor,"Autenticidade como sinal de confiança — conteúdo raw recebe bônus do algoritmo de 2026",planejado,"6 stories: perfil zerado + enquete + bastidor real. Câmera na mão, sem edição pesada."
"Mapa completo do algoritmo do Instagram 2026 — direto das diretrizes oficiais da Meta",2026-05-13,carrossel,,"Algoritmo 2026: hierarquia de sinais, formatos, SEO semântico",alcance,educacao,"Salvamento máximo — carrossel educativo denso com dados oficiais gera alto save",planejado,"12 slides. Âncora de autoridade do perfil. Incluir tabela de sinais e recurso Seu Algoritmo."
"Enquete: você acha que chego em 1k seguidores em 30 dias partindo do zero?",2026-05-14,stories,,"Engajamento e construção de expectativa da audiência",engajamento,bastidor,"Sticker de enquete gera resposta direta — sinal forte de relacionamento no algoritmo de Stories",planejado,"5 stories com enquete + caixa de perguntas. Responder todas as DMs recebidas."
"Posts sem hashtag têm 23% mais alcance em 2026 — vou testar isso ao vivo",2026-05-15,reel,30,"Desmistificação do uso de hashtags no algoritmo de 2026",alcance,desmistificacao,"Dado contraintuitivo induz compartilhamento por DM — Sends per Reach alto",planejado,"Dado real de pesquisa. Anunciar o teste ao vivo. CTA: comenta HASHTAG."
"Prospecção ao vivo #1 — como encontro clientes usando o Instagram",2026-05-16,stories,,"Bastidor real do processo de prospecção de clientes",alcance,bastidor,"Conteúdo raw de bastidor recebe bônus de autenticidade — alto tempo de exibição em Stories",planejado,"Gravar tela do celular + câmera na mão. Mostrar busca, análise e DM sendo escrita. Sem revelar nome do prospect."
"Descanso ativo: bastidor rápido do domingo",2026-05-17,stories,,"Manutenção de presença sem forçar conteúdo",engajamento,bastidor,"Consistência de presença — Stories diários mantém conta no topo do feed dos seguidores",planejado,"3 stories simples: 1 enquete + 1 dado rápido + 1 bastidor. Máximo 2 minutos de produção."
"Dia 7 — os números reais da minha conta nova essa semana",2026-05-18,reel,30,"Resultado da semana 1 ao vivo",alcance,prova_social,"Transparência de dados gera curiosidade e compartilhamento — Sends per Reach elevado",planejado,"Mostrar print dos insights reais. Falar taxa de conclusão, alcance e Sends per Reach. Comparar posts com e sem hashtag."
"7 dias. Conta do zero. Esses são os números reais — sem editar nada",2026-05-19,reel,45,"Revelação dos resultados da semana 1",alcance,prova_social,"Prova social ao vivo ativa compartilhamento espontâneo — sinal mais forte do algoritmo 2026",planejado,"Mostrar print dos dados reais do Instagram Insights. Incluir o que funcionou e o que ajustou."
"Print dos dados reais — alcance, Sends per Reach, seguidores semana 1",2026-05-19,stories,,"Transparência de métricas reais da jornada",engajamento,bastidor,"Stories com dados reais geram respostas diretas e DMs — sinal forte de relacionamento",planejado,"5 stories: print de alcance + Sends per Reach + melhor post + pior post + o que vai mudar."
"Os 4 formatos do Instagram 2026: quando usar cada um e por quê",2026-05-20,carrossel,,"Guia técnico dos formatos: Reel, Carrossel, Stories, Feed",alcance,educacao,"Dwell time alto — carrossel educativo faz audiência deslizar todos os slides aumentando tempo de sessão",planejado,"15 slides. Incluir tabela comparativa de formatos, objetivos e métricas de sucesso por formato."
"Prospecção ao vivo #2 — gravando a DM sendo enviada para o prospect",2026-05-21,stories,,"Bastidor real: escrita e envio de mensagem de prospecção",alcance,bastidor,"Conteúdo de bastidor empresarial raw gera alto engajamento por ser raro e autêntico",planejado,"6 stories: mostrar tela gravando a DM + o critério de escolha do prospect + enquete sobre se vai responder."
"Sends per Reach: a métrica que ninguém mede mas que decide tudo em 2026",2026-05-22,reel,30,"Educação técnica: a métrica principal do algoritmo de 2026",autoridade,educacao,"Conteúdo técnico específico gera salvamento e compartilhamento por DM entre pessoas do nicho",planejado,"Explicar o que é Sends per Reach, como calcular e por que é o sinal mais crítico. CTA: comenta SENDS."
"Resposta da prospecção — o que aconteceu depois da DM",2026-05-23,stories,,"Continuação da prospecção ao vivo #2",engajamento,bastidor,"Continuidade de narrativa aumenta tempo de exibição e retenção da audiência nos Stories",planejado,"5 stories: revelar se prospect respondeu + o que respondeu + próximo passo + enquete de reação."
"Bastidor do fim de semana — processo real sem filtro",2026-05-24,stories,,"Humanização e presença de fim de semana",engajamento,bastidor,"Stories de humanização fortalecem vínculo pessoal — algoritmo prioriza contas do círculo íntimo",planejado,"3 stories rápidos: bastidor do trabalho + reflexão da semana + o que vem na semana 3."
"Por que conteúdo perfeito está morrendo no Instagram de 2026",2026-05-25,reel,45,"Conteúdo Raw vs Conteúdo polido — o que o algoritmo favorece",alcance,desmistificacao,"Tema contraintuitivo gera comentários e compartilhamentos — alto potencial de Sends per Reach",planejado,"Basear no fato oficial: Meta declarou 2026 como Ano do Conteúdo Raw. Citar Adam Mosseri."
"14 dias ao vivo: o que acelerou meu crescimento e o que troquei",2026-05-26,reel,60,"Resultado e aprendizados da semana 2",alcance,prova_social,"Conteúdo de resultado real com dados concretos gera compartilhamento espontâneo e saves",planejado,"Mostrar comparativo semana 1 vs semana 2. Dados reais de alcance, Sends per Reach e seguidores."
"Dados da semana 2 + comparativo com semana 1",2026-05-26,stories,,"Transparência de progresso da jornada ao vivo",engajamento,bastidor,"Stories com dados comparativos geram respostas e DMs — alto sinal de relacionamento",planejado,"6 stories: print das duas semanas lado a lado + o que mudou na estratégia + próximos passos."
"Como transformar alcance em renda extra com o algoritmo de 2026",2026-05-27,carrossel,,"Monetização no Instagram com conta pequena",venda,educacao,"Carrossel de monetização gera alto salvamento — audiência quer guardar pra usar depois",planejado,"12 slides. Incluir: audiência quente vs fria, Sends per Reach e venda, sequência de conteúdo pra converter."
"Prospecção ao vivo #3 — resumo da reunião de prospecção gravada",2026-05-28,stories,,"Bastidor: reunião de prospecção com cliente potencial",autoridade,bastidor,"Bastidor empresarial real gera autoridade e confiança — conteúdo que ninguém mais mostra",planejado,"6 stories: câmera na mão após a call + o que foi discutido + próximo passo + dica sobre a reunião."
"5k seguidores engajados valem mais que 100k dormentes — a matemática prova",2026-05-29,reel,30,"Desmistificação do mito de seguidores como métrica de sucesso",alcance,desmistificacao,"Dado contraintuitivo com matemática real — alto potencial de compartilhamento entre criadores",planejado,"Calcular com números reais: Sends per Reach de conta engajada vs conta grande sem engajamento."
"CTA suave: apresentação do produto digital e o que estou ensinando",2026-05-30,stories,,"Primeira apresentação direta do produto",venda,cta,"Stories com oferta suave aquecida geram DMs — sinal de relacionamento que antecede venda",planejado,"5 stories: o que é o produto + o que ensino + quem é pra você + CTA: manda DM com MÉTODO."
"Reflexão do mês até agora — câmera na mão, sem roteiro",2026-05-31,stories,,"Humanização e conexão no fim do mês",engajamento,bastidor,"Conteúdo humano e vulnerável fortalece vínculo com círculo íntimo — aumenta retenção de audiência",planejado,"3 stories completamente espontâneos. Falar sobre o que foi difícil e o que surpreendeu."
"O Instagram virou motor de busca — você está sendo indexado ou ignorado?",2026-06-01,reel,45,"SEO semântico no Instagram de 2026",autoridade,educacao,"Conteúdo de SEO gera salvamento alto — audiência quer aplicar depois",planejado,"Explicar as 4 áreas de palavras-chave: áudio, texto em tela, legenda, alt text. CTA: salva esse vídeo."
"21 dias. Conta do zero. O que ninguém esperava acontecer",2026-06-02,reel,60,"Grande revelação dos resultados de 3 semanas",alcance,prova_social,"Revelação de resultado real ao vivo — máximo potencial de compartilhamento e Sends per Reach",planejado,"Mostrar todos os números: seguidores, alcance acumulado, Sends per Reach médio, prospecções abertas."
"Print de dados — comparativo completo semana 1 vs semana 3",2026-06-02,stories,,"Prova visual do progresso da jornada",engajamento,bastidor,"Dados comparativos visuais geram respostas diretas e compartilhamento nos Stories",planejado,"6 stories: prints lado a lado + análise do que mudou + o que vai fazer na semana final."
"O sistema completo que usei nos últimos 21 dias — passo a passo",2026-06-03,carrossel,,"Método completo aplicado na jornada ao vivo",venda,educacao,"Carrossel de sistema completo gera save máximo e DMs — antecipa venda do produto",planejado,"10 slides. Mostrar exatamente: frequência, formatos, ganchos, CTA, métricas monitoradas. Cada slide = 1 passo."
"Fechamento de cliente ao vivo — o momento do sim",2026-06-04,stories,,"Bastidor real do fechamento de uma prospecção",autoridade,bastidor,"Prova de negócio real ao vivo gera confiança máxima — conteúdo que ninguém mais mostra",planejado,"6 stories: câmera na mão após fechar + o que foi decisivo + como foi o processo completo."
"Da conta zerada à primeira venda: o que aconteceu em 3 semanas",2026-06-05,reel,45,"Resultado completo: crescimento + venda com o método",venda,prova_social,"Conteúdo de transformação completa gera compartilhamento máximo — ativa desejo da audiência",planejado,"Mostrar o arco completo: dia 1 zerado → crescimento → primeira prospecção → fechamento."
"CTA direto — produto apresentado com resultado provado",2026-06-06,stories,,"Oferta direta com prova social estabelecida",venda,cta,"Stories de oferta direta convertem audiência aquecida — 3 semanas de aquecimento prévio",planejado,"5 stories: resultado + o que você vai aprender + preço + CTA: link na bio ou DM com COMPRAR."
"Bastidor do domingo — próxima semana é a semana final",2026-06-07,stories,,"Antecipação e criação de expectativa da semana final",engajamento,bastidor,"Antecipação cria suspense e aumenta retenção de audiência para próxima semana",planejado,"3 stories: reflexão rápida + o que vem na semana final + enquete de expectativa."
"Por que sua conta não cresce mesmo postando todo dia",2026-06-08,reel,30,"Desmistificação do mito de frequência vs qualidade",alcance,desmistificacao,"Tema polêmico e contraintuitivo — alto potencial viral e de comentários",planejado,"Basear em dado: contas com 4 posts semanais de qualidade superam 7 posts medianos. CTA: salva."
"30 dias. Conta do zero. Aqui estão TODOS os números — sem esconder nada",2026-06-09,reel,60,"Grande revelação final dos 30 dias de jornada ao vivo",alcance,prova_social,"Revelação final completa — máximo potencial de Sends per Reach e viralização por ser prova definitiva",planejado,"Mostrar todos os dados: seguidores ganhos, alcance total, Sends per Reach médio, prospecções fechadas, vendas."
"Revelação completa: seguidores, alcance, vendas e clientes prospectados em 30 dias",2026-06-09,stories,,"Revelação total dos resultados da jornada",venda,bastidor,"Revelação final de dados completos converte audiência aquecida — sequência de venda preparada",planejado,"6 stories: cada métrica principal revelada uma por uma + CTA de compra do produto."
"O que aprendi em 30 dias crescendo do zero com o algoritmo de 2026",2026-06-10,carrossel,,"Aprendizados consolidados da jornada de 30 dias",autoridade,educacao,"Carrossel de aprendizados reais gera alto save e compartilhamento — consolidação de autoridade",planejado,"8 slides. Cada slide = 1 aprendizado real com dado concreto da jornada. Último slide: CTA de compra."
